MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-308.357E-9,-601.080E-9,112.164E-9,-35.664E-6,-16.045E-6,40.854E-6,-638.205E-9,-1.088E-6,821.002E-9,-922.247E-9,-528.968E-9,208.047E-9,-729.814E-9,61.819E-9,-178.956E-9,-2.298E-6,-353.762E-9,766.384E-9,-6.294E-6,1.339E-6,2.461E-6
-447.574E-9,-556.544E-9,45.794E-9,-571.768E-9,-444.970E-9,-18.906E-9,-728.612E-9,-511.875E-9,173.594E-9,-925.719E-9,-529.101E-9,204.642E-9,-1.485E-6,-514.278E-9,371.903E-9,-2.298E-6,-353.428E-9,765.115E-9,-6.293E-6,1.334E-6,2.468E-6
-442.700E-9,-547.130E-9,47.530E-9,-614.167E-9,-498.654E-9,101.748E-9,-726.609E-9,-504.129E-9,136.603E-9,-925.452E-9,-528.968E-9,204.308E-9,-1.471E-6,-564.490E-9,461.909E-9,-2.297E-6,-352.693E-9,766.384E-9,-6.293E-6,1.331E-6,2.468E-6
-438.560E-9,-537.915E-9,47.797E-9,-612.231E-9,-525.696E-9,92.667E-9,-731.617E-9,-511.875E-9,121.913E-9,-925.319E-9,-528.701E-9,206.044E-9,-1.451E-6,-581.784E-9,482.475E-9,-2.298E-6,-353.628E-9,766.517E-9,-6.291E-6,1.322E-6,2.465E-6
-437.492E-9,-531.372E-9,47.530E-9,-607.757E-9,-538.049E-9,87.860E-9,-740.364E-9,-521.223E-9,120.444E-9,-924.251E-9,-528.834E-9,205.510E-9,-1.437E-6,-577.711E-9,486.748E-9,-2.297E-6,-352.693E-9,766.117E-9,-6.292E-6,1.310E-6,2.464E-6
-437.358E-9,-525.896E-9,44.593E-9,-601.214E-9,-543.123E-9,77.444E-9,-747.842E-9,-528.901E-9,121.713E-9,-925.119E-9,-528.300E-9,204.442E-9,-1.426E-6,-568.763E-9,487.683E-9,-2.296E-6,-353.828E-9,766.117E-9,-6.292E-6,1.299E-6,2.462E-6
-437.626E-9,-523.092E-9,40.186E-9,-597.341E-9,-547.664E-9,69.832E-9,-754.653E-9,-533.909E-9,117.907E-9,-924.785E-9,-528.834E-9,204.709E-9,-1.418E-6,-561.018E-9,481.273E-9,-2.297E-6,-353.094E-9,765.850E-9,-6.292E-6,1.294E-6,2.462E-6
-438.160E-9,-517.684E-9,35.979E-9,-593.802E-9,-548.932E-9,62.621E-9,-758.259E-9,-537.915E-9,120.310E-9,-924.317E-9,-529.502E-9,204.442E-9,-1.412E-6,-552.939E-9,472.860E-9,-2.297E-6,-352.827E-9,765.917E-9,-6.291E-6,1.292E-6,2.464E-6
-440.697E-9,-518.285E-9,34.043E-9,-590.798E-9,-546.595E-9,56.478E-9,-759.995E-9,-543.257E-9,123.115E-9,-925.185E-9,-529.636E-9,204.976E-9,-1.405E-6,-543.657E-9,469.922E-9,-2.298E-6,-353.762E-9,766.651E-9,-6.291E-6,1.292E-6,2.467E-6
-444.570E-9,-519.887E-9,32.173E-9,-590.197E-9,-543.925E-9,53.807E-9,-761.864E-9,-547.730E-9,122.714E-9,-925.119E-9,-530.504E-9,204.442E-9,-1.400E-6,-536.713E-9,461.242E-9,-2.297E-6,-353.828E-9,766.117E-9,-6.291E-6,1.293E-6,2.470E-6
-448.309E-9,-518.819E-9,32.574E-9,-590.531E-9,-543.123E-9,52.872E-9,-763.333E-9,-551.136E-9,126.587E-9,-925.052E-9,-530.170E-9,204.976E-9,-1.393E-6,-529.235E-9,459.239E-9,-2.297E-6,-354.029E-9,766.250E-9,-6.293E-6,1.296E-6,2.472E-6
-450.379E-9,-517.083E-9,29.970E-9,-590.798E-9,-542.923E-9,53.406E-9,-762.665E-9,-551.536E-9,129.525E-9,-925.719E-9,-529.702E-9,205.043E-9,-1.387E-6,-525.296E-9,456.234E-9,-2.297E-6,-353.628E-9,766.117E-9,-6.294E-6,1.298E-6,2.473E-6
-452.582E-9,-517.350E-9,28.701E-9,-591.732E-9,-543.257E-9,53.940E-9,-766.939E-9,-552.605E-9,136.335E-9,-925.719E-9,-530.170E-9,205.109E-9,-1.385E-6,-520.421E-9,453.897E-9,-2.298E-6,-353.227E-9,766.384E-9,-6.294E-6,1.302E-6,2.474E-6
-455.387E-9,-517.483E-9,26.765E-9,-591.999E-9,-543.324E-9,52.605E-9,-767.673E-9,-553.540E-9,141.544E-9,-924.918E-9,-531.305E-9,205.043E-9,-1.381E-6,-516.281E-9,452.628E-9,-2.297E-6,-352.226E-9,766.517E-9,-6.294E-6,1.305E-6,2.475E-6
