MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
19.754E-9,-666.248E-9,222.603E-9,-78.667E-6,-58.698E-6,83.352E-6,-1.447E-6,4.043E-6,-7.173E-6,-819.287E-9,-530.437E-9,257.190E-9,-19.840E-6,-23.259E-6,27.196E-6,-2.237E-6,-354.429E-9,790.555E-9,-6.237E-6,1.342E-6,2.472E-6
-357.434E-9,-545.527E-9,81.851E-9,337.649E-9,302.995E-9,-369.653E-9,-643.680E-9,-516.882E-9,209.449E-9,-848.599E-9,-523.493E-9,242.701E-9,-1.500E-6,-463.199E-9,326.632E-9,-2.239E-6,-353.828E-9,788.752E-9,-6.244E-6,1.334E-6,2.479E-6
-343.479E-9,-551.136E-9,89.329E-9,-555.943E-9,-437.492E-9,176.799E-9,-636.202E-9,-497.586E-9,179.870E-9,-848.666E-9,-523.493E-9,240.631E-9,-1.438E-6,-544.058E-9,454.565E-9,-2.239E-6,-353.628E-9,787.751E-9,-6.245E-6,1.323E-6,2.481E-6
-339.606E-9,-554.341E-9,90.664E-9,-529.903E-9,-493.446E-9,140.542E-9,-644.081E-9,-490.642E-9,152.561E-9,-849.601E-9,-524.494E-9,240.498E-9,-1.419E-6,-571.768E-9,509.717E-9,-2.239E-6,-353.628E-9,788.552E-9,-6.244E-6,1.313E-6,2.482E-6
-333.864E-9,-559.282E-9,91.466E-9,-525.763E-9,-513.477E-9,129.391E-9,-655.832E-9,-495.048E-9,144.481E-9,-848.265E-9,-524.828E-9,240.498E-9,-1.402E-6,-573.971E-9,516.661E-9,-2.239E-6,-353.895E-9,788.685E-9,-6.246E-6,1.305E-6,2.483E-6
-331.393E-9,-557.546E-9,88.461E-9,-517.483E-9,-526.698E-9,122.314E-9,-666.916E-9,-501.659E-9,146.151E-9,-849.200E-9,-525.296E-9,240.498E-9,-1.387E-6,-565.358E-9,514.124E-9,-2.239E-6,-353.628E-9,788.552E-9,-6.248E-6,1.298E-6,2.483E-6
-331.060E-9,-557.012E-9,83.854E-9,-510.806E-9,-535.511E-9,113.633E-9,-670.789E-9,-507.468E-9,141.944E-9,-849.601E-9,-524.428E-9,239.964E-9,-1.372E-6,-555.676E-9,510.652E-9,-2.239E-6,-353.494E-9,788.018E-9,-6.249E-6,1.295E-6,2.486E-6
-331.994E-9,-553.139E-9,79.647E-9,-504.062E-9,-535.511E-9,107.090E-9,-672.926E-9,-513.076E-9,144.749E-9,-849.601E-9,-523.693E-9,238.895E-9,-1.364E-6,-546.529E-9,501.104E-9,-2.239E-6,-353.428E-9,787.150E-9,-6.250E-6,1.293E-6,2.489E-6
-336.001E-9,-548.732E-9,77.711E-9,-501.191E-9,-534.042E-9,98.944E-9,-673.593E-9,-519.620E-9,145.149E-9,-848.800E-9,-523.760E-9,239.964E-9,-1.352E-6,-540.052E-9,494.627E-9,-2.240E-6,-353.227E-9,788.685E-9,-6.251E-6,1.294E-6,2.490E-6
-338.605E-9,-548.331E-9,76.442E-9,-497.452E-9,-534.710E-9,94.270E-9,-677.132E-9,-525.696E-9,147.553E-9,-849.601E-9,-521.890E-9,240.097E-9,-1.344E-6,-531.906E-9,487.683E-9,-2.240E-6,-353.628E-9,788.151E-9,-6.250E-6,1.297E-6,2.493E-6
-339.606E-9,-545.394E-9,73.705E-9,-494.915E-9,-532.306E-9,93.335E-9,-680.137E-9,-530.036E-9,152.093E-9,-848.666E-9,-523.760E-9,240.231E-9,-1.336E-6,-524.695E-9,483.677E-9,-2.239E-6,-353.762E-9,788.552E-9,-6.253E-6,1.299E-6,2.495E-6
-344.614E-9,-541.521E-9,72.236E-9,-493.446E-9,-534.710E-9,90.865E-9,-682.541E-9,-532.707E-9,157.769E-9,-848.800E-9,-524.294E-9,240.097E-9,-1.328E-6,-519.086E-9,480.271E-9,-2.239E-6,-353.628E-9,787.550E-9,-6.254E-6,1.302E-6,2.497E-6
-346.951E-9,-539.117E-9,69.698E-9,-493.579E-9,-534.443E-9,92.000E-9,-685.879E-9,-534.977E-9,163.311E-9,-848.399E-9,-523.493E-9,239.697E-9,-1.323E-6,-516.014E-9,477.534E-9,-2.239E-6,-354.296E-9,787.884E-9,-6.254E-6,1.306E-6,2.498E-6
-348.220E-9,-536.513E-9,67.829E-9,-494.648E-9,-535.511E-9,92.267E-9,-688.951E-9,-537.715E-9,167.184E-9,-847.998E-9,-523.893E-9,240.498E-9,-1.317E-6,-513.076E-9,475.063E-9,-2.239E-6,-354.630E-9,788.351E-9,-6.254E-6,1.310E-6,2.497E-6
-351.091E-9,-536.313E-9,65.291E-9,-495.315E-9,-533.642E-9,90.664E-9,-691.354E-9,-540.319E-9,173.193E-9,-849.067E-9,-525.095E-9,239.830E-9,-1.312E-6,-508.803E-9,472.726E-9,-2.239E-6,-354.029E-9,788.018E-9,-6.255E-6,1.311E-6,2.497E-6
-355.631E-9,-533.108E-9,64.223E-9,-495.449E-9,-530.904E-9,88.261E-9,-693.357E-9,-543.123E-9,176.398E-9,-848.199E-9,-524.294E-9,239.496E-9,-1.310E-6,-503.461E-9,471.858E-9,-2.238E-6,-354.029E-9,787.951E-9,-6.254E-6,1.313E-6,2.499E-6
-356.432E-9,-532.039E-9,62.354E-9,-495.315E-9,-529.101E-9,84.922E-9,-695.227E-9,-546.328E-9,178.000E-9,-848.800E-9,-523.760E-9,240.631E-9,-1.308E-6,-503.061E-9,470.723E-9,-2.239E-6,-354.429E-9,787.751E-9,-6.253E-6,1.315E-6,2.500E-6
-358.436E-9,-530.103E-9,60.617E-9,-495.449E-9,-529.502E-9,81.851E-9,-695.961E-9,-547.730E-9,182.207E-9,-849.401E-9,-524.094E-9,242.301E-9,-1.306E-6,-502.460E-9,469.655E-9,-2.240E-6,-354.429E-9,788.351E-9,-6.253E-6,1.316E-6,2.500E-6
-358.970E-9,-528.968E-9,59.416E-9,-493.579E-9,-527.365E-9,81.717E-9,-697.230E-9,-551.670E-9,184.544E-9,-849.467E-9,-524.027E-9,240.765E-9,-1.302E-6,-500.657E-9,468.052E-9,-2.239E-6,-353.628E-9,788.685E-9,-6.252E-6,1.319E-6,2.500E-6
-361.040E-9,-528.501E-9,59.416E-9,-492.044E-9,-526.698E-9,81.450E-9,-698.165E-9,-557.345E-9,185.412E-9,-849.200E-9,-524.294E-9,240.297E-9,-1.302E-6,-499.055E-9,466.049E-9,-2.238E-6,-354.229E-9,787.751E-9,-6.251E-6,1.321E-6,2.502E-6
-362.976E-9,-528.300E-9,58.881E-9,-490.642E-9,-529.101E-9,80.382E-9,-699.901E-9,-557.813E-9,186.948E-9,-847.865E-9,-523.626E-9,239.697E-9,-1.300E-6,-498.654E-9,465.248E-9,-2.239E-6,-354.696E-9,788.552E-9,-6.250E-6,1.322E-6,2.502E-6
-360.439E-9,-528.701E-9,58.414E-9,-488.238E-9,-526.097E-9,80.248E-9,-700.569E-9,-559.950E-9,186.413E-9,-847.798E-9,-524.294E-9,239.697E-9,-1.300E-6,-497.853E-9,464.847E-9,-2.239E-6,-354.029E-9,788.351E-9,-6.249E-6,1.324E-6,2.504E-6
-365.513E-9,-526.698E-9,57.947E-9,-487.971E-9,-525.496E-9,80.382E-9,-701.236E-9,-562.220E-9,187.615E-9,-849.200E-9,-524.160E-9,239.563E-9,-1.298E-6,-496.117E-9,463.512E-9,-2.239E-6,-354.429E-9,788.685E-9,-6.249E-6,1.326E-6,2.505E-6
-368.251E-9,-527.098E-9,58.214E-9,-488.638E-9,-527.098E-9,80.248E-9,-701.771E-9,-563.956E-9,191.221E-9,-849.401E-9,-525.095E-9,240.498E-9,-1.297E-6,-496.250E-9,462.844E-9,-2.238E-6,-354.229E-9,788.752E-9,-6.247E-6,1.327E-6,2.507E-6
-367.650E-9,-526.431E-9,58.347E-9,-487.303E-9,-527.766E-9,80.382E-9,-700.435E-9,-565.959E-9,191.355E-9,-849.334E-9,-524.962E-9,241.299E-9,-1.297E-6,-496.384E-9,463.645E-9,-2.239E-6,-354.830E-9,788.285E-9,-6.245E-6,1.329E-6,2.508E-6
-369.653E-9,-526.698E-9,58.214E-9,-487.236E-9,-527.499E-9,80.448E-9,-700.168E-9,-566.159E-9,191.221E-9,-847.598E-9,-524.695E-9,240.698E-9,-1.296E-6,-496.651E-9,461.642E-9,-2.239E-6,-354.429E-9,788.151E-9,-6.244E-6,1.329E-6,2.509E-6
-368.985E-9,-526.030E-9,57.412E-9,-486.502E-9,-525.763E-9,81.049E-9,-700.702E-9,-567.695E-9,191.622E-9,-849.467E-9,-524.695E-9,241.433E-9,-1.296E-6,-496.918E-9,461.642E-9,-2.238E-6,-354.563E-9,788.552E-9,-6.242E-6,1.330E-6,2.511E-6
-370.254E-9,-526.097E-9,58.013E-9,-486.836E-9,-525.095E-9,80.849E-9,-698.365E-9,-567.561E-9,193.224E-9,-848.800E-9,-525.496E-9,240.698E-9,-1.296E-6,-496.250E-9,461.843E-9,-2.239E-6,-354.029E-9,788.952E-9,-6.241E-6,1.332E-6,2.513E-6
-370.187E-9,-524.962E-9,57.813E-9,-486.368E-9,-524.027E-9,81.583E-9,-700.168E-9,-566.627E-9,194.025E-9,-850.402E-9,-525.362E-9,241.032E-9,-1.295E-6,-496.384E-9,462.310E-9,-2.240E-6,-354.963E-9,788.685E-9,-6.241E-6,1.333E-6,2.514E-6
-370.054E-9,-525.896E-9,57.412E-9,-484.832E-9,-522.491E-9,81.250E-9,-700.368E-9,-565.959E-9,192.423E-9,-849.601E-9,-524.094E-9,239.296E-9,-1.295E-6,-497.853E-9,460.240E-9,-2.240E-6,-354.630E-9,788.752E-9,-6.240E-6,1.334E-6,2.516E-6
-369.386E-9,-527.365E-9,56.878E-9,-485.300E-9,-522.959E-9,81.717E-9,-699.901E-9,-566.360E-9,193.358E-9,-850.536E-9,-525.362E-9,241.433E-9,-1.294E-6,-497.185E-9,461.375E-9,-2.240E-6,-355.097E-9,788.552E-9,-6.239E-6,1.335E-6,2.517E-6
-368.651E-9,-526.497E-9,57.212E-9,-485.634E-9,-521.289E-9,82.451E-9,-700.769E-9,-566.360E-9,193.625E-9,-849.401E-9,-526.297E-9,240.498E-9,-1.294E-6,-498.654E-9,460.240E-9,-2.240E-6,-355.231E-9,787.751E-9,-6.237E-6,1.336E-6,2.518E-6
