MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-325.584E-9,-657.168E-9,195.761E-9,-69.241E-6,-49.435E-6,74.301E-6,-1.366E-6,409.695E-9,-2.459E-6,-932.664E-9,-561.953E-9,257.324E-9,-7.306E-6,-9.263E-6,12.299E-6,-2.312E-6,-371.923E-9,786.148E-9,-6.291E-6,1.329E-6,2.469E-6
-513.878E-9,-597.809E-9,99.077E-9,327.834E-9,-63.376E-9,-830.371E-9,-782.296E-9,-568.363E-9,224.673E-9,-958.571E-9,-552.137E-9,243.502E-9,-1.521E-6,-516.882E-9,362.288E-9,-2.314E-6,-372.457E-9,784.345E-9,-6.295E-6,1.321E-6,2.476E-6
-507.334E-9,-590.397E-9,104.018E-9,-668.118E-9,-482.095E-9,169.320E-9,-771.746E-9,-547.397E-9,191.355E-9,-958.971E-9,-552.204E-9,243.169E-9,-1.490E-6,-573.704E-9,457.636E-9,-2.313E-6,-372.724E-9,784.145E-9,-6.295E-6,1.313E-6,2.483E-6
-503.862E-9,-582.985E-9,105.688E-9,-657.502E-9,-533.108E-9,133.331E-9,-771.880E-9,-541.721E-9,172.392E-9,-956.367E-9,-551.737E-9,241.700E-9,-1.474E-6,-595.605E-9,501.104E-9,-2.313E-6,-371.856E-9,783.945E-9,-6.294E-6,1.301E-6,2.482E-6
-499.856E-9,-576.909E-9,104.820E-9,-652.761E-9,-552.338E-9,123.783E-9,-779.625E-9,-545.126E-9,165.180E-9,-959.105E-9,-550.869E-9,242.100E-9,-1.460E-6,-600.012E-9,506.913E-9,-2.313E-6,-372.190E-9,784.813E-9,-6.291E-6,1.292E-6,2.481E-6
-500.657E-9,-572.769E-9,104.286E-9,-649.489E-9,-565.158E-9,117.506E-9,-784.499E-9,-548.131E-9,162.376E-9,-956.568E-9,-550.735E-9,241.099E-9,-1.448E-6,-592.400E-9,509.717E-9,-2.313E-6,-372.457E-9,785.347E-9,-6.290E-6,1.285E-6,2.481E-6
-498.253E-9,-571.434E-9,100.012E-9,-643.146E-9,-572.903E-9,111.230E-9,-792.312E-9,-551.670E-9,158.503E-9,-958.704E-9,-551.002E-9,242.234E-9,-1.443E-6,-583.987E-9,508.649E-9,-2.313E-6,-372.057E-9,784.278E-9,-6.289E-6,1.281E-6,2.479E-6
-499.055E-9,-568.763E-9,95.872E-9,-641.477E-9,-574.973E-9,107.290E-9,-795.717E-9,-556.745E-9,154.764E-9,-956.968E-9,-551.536E-9,242.301E-9,-1.434E-6,-576.976E-9,500.503E-9,-2.314E-6,-372.858E-9,783.344E-9,-6.290E-6,1.279E-6,2.480E-6
-501.725E-9,-564.757E-9,94.003E-9,-637.938E-9,-575.040E-9,103.351E-9,-798.321E-9,-561.819E-9,157.435E-9,-957.636E-9,-551.269E-9,241.299E-9,-1.428E-6,-568.897E-9,496.096E-9,-2.313E-6,-372.724E-9,784.011E-9,-6.290E-6,1.280E-6,2.481E-6
-503.461E-9,-561.953E-9,91.466E-9,-635.668E-9,-575.173E-9,101.081E-9,-799.923E-9,-564.557E-9,161.374E-9,-958.571E-9,-551.937E-9,241.499E-9,-1.424E-6,-559.950E-9,490.087E-9,-2.314E-6,-372.257E-9,783.744E-9,-6.290E-6,1.281E-6,2.483E-6
-506.934E-9,-560.751E-9,89.596E-9,-635.534E-9,-574.105E-9,99.745E-9,-800.858E-9,-568.363E-9,159.839E-9,-958.037E-9,-552.071E-9,240.364E-9,-1.420E-6,-552.204E-9,483.944E-9,-2.314E-6,-372.190E-9,783.477E-9,-6.290E-6,1.284E-6,2.484E-6
-509.271E-9,-560.150E-9,87.860E-9,-635.868E-9,-574.572E-9,102.082E-9,-801.927E-9,-570.967E-9,164.780E-9,-959.572E-9,-552.338E-9,241.700E-9,-1.415E-6,-547.530E-9,482.074E-9,-2.313E-6,-372.658E-9,783.744E-9,-6.291E-6,1.287E-6,2.484E-6
-510.806E-9,-557.813E-9,87.726E-9,-635.400E-9,-574.238E-9,103.217E-9,-805.265E-9,-572.502E-9,166.783E-9,-958.704E-9,-552.338E-9,240.765E-9,-1.410E-6,-542.055E-9,479.403E-9,-2.314E-6,-371.923E-9,784.011E-9,-6.293E-6,1.290E-6,2.485E-6
-513.477E-9,-556.945E-9,86.658E-9,-637.270E-9,-571.568E-9,101.882E-9,-805.332E-9,-574.572E-9,171.190E-9,-957.769E-9,-552.939E-9,240.898E-9,-1.407E-6,-539.317E-9,476.065E-9,-2.314E-6,-373.259E-9,783.143E-9,-6.293E-6,1.293E-6,2.485E-6
-511.608E-9,-555.943E-9,83.720E-9,-637.136E-9,-572.769E-9,103.217E-9,-808.069E-9,-575.173E-9,176.264E-9,-958.838E-9,-551.937E-9,240.498E-9,-1.406E-6,-533.909E-9,474.863E-9,-2.314E-6,-371.923E-9,783.477E-9,-6.294E-6,1.295E-6,2.485E-6
