MAG13_MS100_SN338 X,MAG13_MS100_SN338 Y,MAG13_MS100_SN338 Z,MAG13_MS100_SN596 X,MAG13_MS100_SN596 Y,MAG13_MS100_SN596 Z,MAG13_MS100_SN597 X,MAG13_MS100_SN597 Y,MAG13_MS100_SN597 Z,MAG13_MSL100_SN773 X,MAG13_MSL100_SN773 Y,MAG13_MSL100_SN773 Z,MAG13_MSL100_SN594 X,MAG13_MSL100_SN594 Y,MAG13_MSL100_SN594 Z,MAG13_MSL100_SN777 X,MAG13_MSL100_SN777 Y,MAG13_MSL100_SN777 Z,MAG13_MS70_SN339 X,MAG13_MS70_SN339 Y,MAG13_MS70_SN339 Z
-512.676E-9,-539.117E-9,114.702E-9,-17.108E-6,-2.803E-6,19.470E-6,-724.740E-9,-660.907E-9,410.763E-9,-950.692E-9,-528.434E-9,250.513E-9,-934.800E-9,187.482E-9,-488.905E-9,-2.289E-6,-349.488E-9,784.011E-9,-6.264E-6,1.351E-6,2.468E-6
-538.716E-9,-555.543E-9,101.882E-9,-737.426E-9,-455.787E-9,214.858E-9,-762.265E-9,-507.267E-9,192.823E-9,-953.363E-9,-528.501E-9,247.709E-9,-1.526E-6,-539.317E-9,454.832E-9,-2.289E-6,-349.221E-9,783.945E-9,-6.268E-6,1.342E-6,2.472E-6
-531.372E-9,-570.366E-9,108.025E-9,-691.221E-9,-513.076E-9,164.913E-9,-764.669E-9,-498.387E-9,161.708E-9,-953.496E-9,-529.235E-9,247.709E-9,-1.509E-6,-575.440E-9,517.463E-9,-2.290E-6,-349.088E-9,783.611E-9,-6.269E-6,1.331E-6,2.473E-6
-525.896E-9,-579.179E-9,109.894E-9,-682.941E-9,-533.508E-9,153.162E-9,-771.880E-9,-503.662E-9,147.553E-9,-953.763E-9,-529.101E-9,247.308E-9,-1.490E-6,-581.383E-9,529.749E-9,-2.289E-6,-349.622E-9,783.945E-9,-6.268E-6,1.322E-6,2.473E-6
-520.154E-9,-581.717E-9,108.025E-9,-673.860E-9,-543.524E-9,143.547E-9,-781.762E-9,-508.803E-9,144.081E-9,-954.431E-9,-528.701E-9,247.575E-9,-1.472E-6,-574.238E-9,525.475E-9,-2.289E-6,-349.889E-9,784.011E-9,-6.271E-6,1.312E-6,2.471E-6
-518.685E-9,-580.381E-9,105.487E-9,-666.716E-9,-553.540E-9,134.733E-9,-788.305E-9,-514.679E-9,142.946E-9,-954.564E-9,-527.900E-9,246.707E-9,-1.459E-6,-563.355E-9,520.935E-9,-2.288E-6,-349.221E-9,784.546E-9,-6.273E-6,1.305E-6,2.472E-6
-520.688E-9,-576.642E-9,99.077E-9,-663.177E-9,-554.875E-9,126.320E-9,-793.246E-9,-520.955E-9,143.013E-9,-953.229E-9,-529.502E-9,246.908E-9,-1.445E-6,-553.005E-9,510.118E-9,-2.289E-6,-349.088E-9,783.744E-9,-6.274E-6,1.302E-6,2.476E-6
-523.893E-9,-572.569E-9,97.876E-9,-659.505E-9,-550.935E-9,116.705E-9,-794.315E-9,-527.098E-9,145.149E-9,-954.364E-9,-528.701E-9,247.308E-9,-1.434E-6,-543.925E-9,501.705E-9,-2.289E-6,-349.822E-9,784.145E-9,-6.274E-6,1.303E-6,2.480E-6
-527.098E-9,-572.369E-9,94.804E-9,-654.630E-9,-549.133E-9,110.963E-9,-800.992E-9,-531.639E-9,148.221E-9,-953.897E-9,-529.235E-9,246.641E-9,-1.423E-6,-534.310E-9,493.425E-9,-2.289E-6,-349.488E-9,784.813E-9,-6.276E-6,1.304E-6,2.483E-6
-531.105E-9,-568.964E-9,91.866E-9,-652.293E-9,-546.929E-9,108.893E-9,-804.731E-9,-536.313E-9,154.364E-9,-954.564E-9,-528.300E-9,246.707E-9,-1.416E-6,-526.297E-9,488.484E-9,-2.289E-6,-349.021E-9,784.145E-9,-6.277E-6,1.306E-6,2.486E-6
-534.042E-9,-567.294E-9,91.466E-9,-651.692E-9,-547.397E-9,108.292E-9,-807.936E-9,-538.449E-9,161.308E-9,-953.897E-9,-529.502E-9,246.374E-9,-1.408E-6,-519.887E-9,483.677E-9,-2.289E-6,-349.221E-9,784.011E-9,-6.277E-6,1.308E-6,2.488E-6
-535.511E-9,-562.954E-9,88.060E-9,-653.696E-9,-546.729E-9,109.093E-9,-810.340E-9,-542.122E-9,167.184E-9,-954.564E-9,-528.901E-9,246.507E-9,-1.402E-6,-516.281E-9,481.073E-9,-2.289E-6,-349.221E-9,783.744E-9,-6.277E-6,1.312E-6,2.490E-6
